Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
6194,1.028,0.152,-0.076,2.3,1.25,4.45,-80.619,116.574,38.548,0,409
6214,1.024,0.152,-0.08,2.71,0.35,3.76,-80.484,117.767,38.561,0,410
6236,1.02,0.16,-0.076,2.02,0.7,4.38,-80.154,115.416,38.419,0,384
6256,1.02,0.152,-0.076,2.02,1.39,4.45,-80.606,113.561,38.548,0,340
6277,1.032,0.16,-0.064,-0.7,2.09,4.38,-80.362,111.326,38.495,0,312
6298,1.032,0.156,-0.076,0.97,2.3,3.2,-80.417,118.935,38.495,0,309
6319,1.024,0.152,-0.056,3.27,-0.07,1.11,-81.017,110.233,38.495,0,313
6340,1.028,0.164,-0.092,3.62,0.35,0.42,-79.64,119.3,38.495,0,320
6361,1.028,0.156,-0.064,0.28,1.04,3.13,-80.691,112.314,38.495,0,333
6381,1.032,0.144,-0.084,2.02,0.77,4.8,-80.83,120.265,38.446,0,333
