Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
5172,0.988,0.26,0.188,-5.91,10.43,10.85,-72.014,54.134,42.753,0,596
5193,0.988,0.256,0.188,-10.16,11.06,10.57,-72.15,53.28,42.383,0,630
5214,0.976,0.252,0.184,-11.48,10.3,10.09,-71.962,52.129,42.709,0,639
5235,0.972,0.24,0.192,-11.06,11.83,11.2,-72.458,51.344,42.782,0,647
5256,0.964,0.244,0.18,-12.52,10.92,10.5,-72.545,53.588,43.253,0,649
5277,0.976,0.232,0.216,-10.71,9.11,8.9,-72.013,47.049,43.253,0,643
5298,0.968,0.236,0.212,-10.85,8.97,7.86,-71.86,48.07,43.253,0,645
5318,0.964,0.224,0.22,-10.64,8.63,8.07,-71.965,45.52,43.253,0,646
5340,0.964,0.22,0.232,-11.2,7.93,8.42,-71.656,43.482,43.253,0,638
5360,0.948,0.184,0.248,-8.56,6.33,8,-72.149,35.365,43.665,0,641
5381,0.96,0.16,0.248,-7.79,6.19,10.16,-72.565,35.365,43.431,0,640
5402,0.968,0.176,0.252,-6.82,6.54,11.48,-72.998,35.183,42.747,0,638
5423,0.96,0.176,0.244,-5.22,6.05,11.83,-72.605,35.806,42.431,0,642
5443,0.972,0.172,0.268,-2.23,4.59,11.27,-71.865,32.694,42.104,0,651
5465,0.968,0.16,0.264,-1.11,2.5,9.88,-72.318,31.221,42.126,0,651
5485,0.968,0.16,0.26,-0.83,1.67,9.6,-72.501,31.61,42.126,0,651
5506,0.98,0.168,0.256,-0.07,2.57,10.5,-72.654,33.277,42.126,0,653
5527,0.972,0.16,0.252,3.48,1.39,9.46,-73.611,29.448,42.126,0,638
5548,0.964,0.132,0.252,4.73,1.53,8.28,-73.547,29.448,41.977,0,641
5568,0.964,0.14,0.244,2.3,1.6,8.83,-73.034,32.174,40.443,0,639
5590,0.972,0.156,0.236,2.57,1.95,8.56,-73.778,33.468,40.21,0,637
5610,0.96,0.136,0.216,6.61,0.77,6.82,-75.116,32.198,40.266,0,640
5630,0.96,0.12,0.24,7.17,4.17,4.8,-74.389,26.567,40.132,0,649
5652,0.944,0.128,0.22,7.37,1.81,4.24,-74.916,30.194,40.093,0,558
5672,0.96,0.176,0.244,6.05,-0.21,5.63,-72.605,35.806,40.093,0,528
5693,0.976,0.192,0.224,6.75,-0.7,5.7,-73.186,40.604,40.093,0,490
5714,0.968,0.224,0.24,7.58,-2.3,4.45,-71.401,42.042,40.093,0,465
5735,0.976,0.224,0.236,5.91,-1.39,0.14,-71.783,42.994,40.04,0,476
5755,0.984,0.216,0.232,2.09,0.21,-0.56,-72.682,42.882,40.358,0,472
